# id:12-24-12 
-0.57,-0.89,-1
0.48,-0.86,-1
0.22,-0.52,-1
0.33,-0.65,-1
-0.61,-0.11,1
-0.38,-0.88,-1
-0.08,0.14,1
-0.78,0,1
0.69,0.32,1
0.7,-0.05,1
-0.39,0.39,1
-0.49,-0.14,1
-0.36,-0.92,-1
-0.76,0.41,1
0.16,0.81,1
0.73,-0.57,1
-0.09,0.35,1
-0.14,0.57,1
0.85,0.26,1
0.02,-0.05,-1
-0.02,0.57,1
0.06,-0.92,-1
0.28,-0.27,-1
0.99,-0.02,1
0.05,-0.87,-1
0,0.86,1
0.08,-0.24,-1
-0.71,0.62,1
-0.49,0.47,1
-0.96,-0.52,1
-0.48,0.47,1
-0.62,-0.48,1
0.11,0.81,1
0.91,0.79,1
-0.89,-0.17,1
-0.88,0.84,1
-0.44,-0.09,1
-0.65,0.21,1
0.72,0.72,1
-0.67,0.76,1
0.91,-0.72,1
0.05,-0.34,-1
-0.72,0.77,1
-0.76,0.68,1
0.18,0.8,1
-0.75,0.92,1
0.18,-0.52,-1
-0.13,-0.16,-1
-0.82,-0.44,1
-0.04,-0.11,-1
-0.79,-0.2,1
-0.06,0.85,1
-0.82,-0.87,1
0.24,-0.63,-1
-0.92,0.55,1
0.77,0.81,1
0.28,-0.02,1
0.71,0.86,1
0.34,-0.97,-1
-0.31,-0.01,1
0.81,0.21,1
0.19,-0.85,-1
0.25,-0.67,-1
0.08,0.58,1
-0.42,0.67,1
0.89,0.44,1
0.1,-0.29,-1
-0.19,-0.58,-1
0.36,0.76,1
-0.54,-0.55,-1
-0.55,-0.75,-1
0.25,0.45,1
0.89,-0.31,1
-0.34,0.77,1
0.81,-0.65,1
-0.5,-0.77,-1
0,0.34,1
-0.52,-0.86,-1
0.81,0.5,1
0.18,0.96,1
0.54,-0.59,-1
0.11,0.66,1
-0.17,0.55,1
-0.11,-0.8,-1
-0.48,-0.99,-1
0.84,-0.49,1
-0.43,0.52,1
-0.98,1,1
0.9,0.81,1
0.53,-0.02,1
0.62,-0.48,1
0.95,0.63,1
0.73,-0.54,1
-0.8,0.35,1
-0.55,0.88,1
0.04,0.71,1
0.88,-0.72,1
-0.97,-0.7,1
-0.66,-0.8,1
-0.85,0.73,1
0.93,0.35,1
-0.91,0.29,1
0.94,0.02,1
0.32,0.23,1
-0.1,0.68,1
-0.5,-0.28,1
-0.38,-0.41,-1
-0.75,-0.37,1
0.88,-0.02,1
0.31,0.14,1
0.72,0.06,1
-0.36,0.16,1
0.2,0.09,1
-0.78,-0.6,1
-0.41,0.31,1
-0.16,0.82,1
-0.21,-0.57,-1
0.02,-0.31,-1
0.56,-0.43,1
-0.7,0.88,1
-0.23,0.6,1
-0.41,-0.76,-1
0.7,0.45,1
0.83,0.67,1
0.19,-0.74,-1
-0.78,0.1,1
0.99,0.89,1
-0.67,-0.09,1
0.31,-0.53,-1
0.27,-0.23,1
-0.64,0.55,1
-0.48,-0.87,-1
0.83,0.84,1
-0.78,0.66,1
0.02,-0.15,-1
0.13,0.07,1
0.05,0.05,1
0.4,0.39,1
-0.55,-0.31,1
-0.93,0.97,1
0.58,-0.67,1
-0.33,-0.15,1
-0.99,-0.32,1
-0.2,-0.1,-1
0.26,0.93,1
0.97,0.05,1
0.78,-0.9,1
0.48,0.51,1
-0.93,0.96,1
0.15,-0.98,-1
0,0.6,1
-0.61,-0.73,1
0.92,-0.72,1
0.28,0.09,1
-0.71,-0.66,1
-0.84,-0.69,1
0.11,-0.91,-1
0.1,0.57,1
-0.52,0.65,1
-0.45,-0.21,1
-0.41,0.8,1
-0.04,-0.82,-1
-0.82,-0.9,1
-0.92,0.38,1
-0.11,0.68,1
0.63,0.84,1
0.42,-0.05,1
0.31,-0.96,-1
-0.31,-0.48,-1
-0.96,0.08,1
0.41,0.67,1
-0.62,-0.38,1
0.63,-0.19,1
0.16,-0.11,-1
0.78,0.79,1
-0.26,0.41,1
-0.98,-0.17,1
0.39,-0.87,-1
-0.68,-0.17,1
-0.09,-0.13,-1
-0.72,-0.73,1
0.45,-0.34,1
